keyPressRun_5.keys,keyPressRun_5.rt,keyPressRun_6.keys,keyPressRun_6.rt,keyPressRun_7.keys,keyPressRun_7.rt,participant,date,expName,psychopyVersion,frameRate,
space,4.1464545000344515,,,,,aaaaaaaaaaa,2019_Jun_21_1533,untitled,3.0.7,59.99750411276244,
,,space,0.8336625001393259,,,aaaaaaaaaaa,2019_Jun_21_1533,untitled,3.0.7,59.99750411276244,
,,,,space,0.7501550000160933,aaaaaaaaaaa,2019_Jun_21_1533,untitled,3.0.7,59.99750411276244,
