Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,keyPressRun_5.keys,keyPressRun_5.rt,keyPressRun_6.keys,keyPressRun_6.rt,keyPressRun_7.keys,keyPressRun_7.rt,keyPressTrial_3.keys,keyPressRun_3.keys,keyPressRun_3.rt,keyPressRun_9.keys,keyPressRun_9.rt,keyPressRun_4.keys,keyPressRun_4.rt,keyPressRun_12.keys,keyPressRun_12.rt,keyPressTrial.keys,keyPressRun_15.keys,keyPressRun_15.rt,keyPressTrial_2.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
,,,,7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,None,,,,bbbbbbbbbbbbb,2019_Jun_21_1603,untitled,3.0.7,60.07788500365442,
