A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_4.keys,keyPressTrial_4.rt,keyPressTrial_4.started,keyPressTrial_4.stopped,green_4.started,green_4.stopped,red_4.started,red_4.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.533752700313926,None,44.533752700313926,None,44.533752700313926,None,None,,0.010851089842617512,1.005848789587617,44.533752700313926,None,44.533752700313926,None,45.53465760033578,None,45.53465760033578,None,45.53465760033578,None,45.53465760033578,None,None,0.010488690342754126,1.7060462906956673,45.53465760033578,None,45.53465760033578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.23609630018473,None,47.23609630018473,None,47.23609630018473,None,None,,0.011532390024513006,1.0070794899947941,47.23609630018473,None,47.23609630018473,None,48.236064800061285,None,48.236064800061285,None,48.236064800061285,None,48.236064800061285,None,None,0.010965490248054266,1.6068918900564313,48.236064800061285,None,48.236064800061285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.839116600342095,None,49.839116600342095,None,49.839116600342095,None,None,,0.010876290034502745,1.0061225900426507,49.839116600342095,None,49.839116600342095,None,50.838348200079054,None,50.838348200079054,None,50.838348200079054,None,50.838348200079054,None,None,0.011048390064388514,1.7068932899273932,50.838348200079054,None,50.838348200079054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.542574000079185,None,52.542574000079185,None,52.542574000079185,None,None,,0.0100411893799901,1.0211928896605968,52.542574000079185,None,52.542574000079185,None,53.557360500097275,None,53.557360500097275,None,53.557360500097275,None,53.557360500097275,None,None,0.01064558932557702,1.8058849894441664,53.557360500097275,None,53.557360500097275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.360663200262934,None,55.360663200262934,None,55.360663200262934,None,None,,0.010108290240168571,1.004504690412432,55.360663200262934,None,55.360663200262934,None,56.35963990027085,None,56.35963990027085,None,56.35963990027085,None,56.35963990027085,None,None,0.011341090314090252,1.6076211901381612,56.35963990027085,None,56.35963990027085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.96294909995049,None,57.96294909995049,None,57.96294909995049,None,None,,0.010389789938926697,1.005123590119183,57.96294909995049,None,57.96294909995049,None,58.964035500306636,None,58.964035500306636,None,58.964035500306636,None,58.964035500306636,None,None,0.009878590237349272,1.7045331900008023,58.964035500306636,None,58.964035500306636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.663352500181645,None,60.663352500181645,None,60.663352500181645,None,None,,0.01185029000043869,1.0080770901404321,60.663352500181645,None,60.663352500181645,None,61.66433189995587,None,61.66433189995587,None,61.66433189995587,None,61.66433189995587,None,None,0.011661490425467491,1.7079672901891172,61.66433189995587,None,61.66433189995587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.36588960001245,None,63.36588960001245,None,63.36588960001245,None,None,,0.011389689985662699,1.0073066903278232,63.36588960001245,None,63.36588960001245,None,64.36692270031199,None,64.36692270031199,None,64.36692270031199,None,64.36692270031199,None,None,0.011705089826136827,1.6083302898332477,64.36692270031199,None,64.36692270031199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.97010269993916,None,65.97010269993916,None,65.97010269993916,None,None,,0.010653790086507797,1.022227989975363,65.97010269993916,None,65.97010269993916,None,66.98579120030627,None,66.98579120030627,None,66.98579120030627,None,66.98579120030627,None,None,0.01072409050539136,1.8063836903311312,66.98579120030627,None,66.98579120030627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.78851850004867,None,68.78851850004867,None,68.78851850004867,None,None,,0.010891590267419815,1.0057728900574148,68.78851850004867,None,68.78851850004867,None,69.79054630035535,None,69.79054630035535,None,69.79054630035535,None,69.79054630035535,None,None,0.010804689954966307,1.7067482899874449,69.79054630035535,None,69.79054630035535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil456,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_17_2001,train-A,59.94456329236639,
