A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Experiment Mode,Data modality,EEG headset,Visualize Epochs,date,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58233950007707,None,39.58233950007707,None,39.58233950007707,None,l,0.1830698000267148,0.00952266063541174,1.017389860469848,39.58233950007707,None,39.58233950007707,None,40.59747939975932,None,40.59747939975932,None,40.59747939975932,None,40.59747939975932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.198521699756384,None,42.198521699756384,None,42.198521699756384,None,None,,0.01284336019307375,1.0237526600249112,42.198521699756384,None,42.198521699756384,None,43.21499209990725,None,43.21499209990725,None,43.21499209990725,None,43.21499209990725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.918295099865645,None,44.918295099865645,None,44.918295099865645,None,None,,0.012560860253870487,1.0224411599338055,44.918295099865645,None,44.918295099865645,None,45.93421750003472,None,45.93421750003472,None,45.93421750003472,None,45.93421750003472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.63787169987336,None,47.63787169987336,None,47.63787169987336,None,None,,0.011494459584355354,1.0212677596136928,47.63787169987336,None,47.63787169987336,None,48.653124100062996,None,48.653124100062996,None,48.653124100062996,None,48.653124100062996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.25828040018678,None,50.25828040018678,None,50.25828040018678,None,None,,0.011803060304373503,1.0191135602071881,50.25828040018678,None,50.25828040018678,None,51.272005800157785,None,51.272005800157785,None,51.272005800157785,None,51.272005800157785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.07607669988647,None,53.07607669988647,None,53.07607669988647,None,None,,0.012477060314267874,1.0218563601374626,53.07607669988647,None,53.07607669988647,None,54.09113280009478,None,54.09113280009478,None,54.09113280009478,None,54.09113280009478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.69514749990776,None,55.69514749990776,None,55.69514749990776,None,None,,0.011611860245466232,1.020286459941417,55.69514749990776,None,55.69514749990776,None,56.71005340013653,None,56.71005340013653,None,56.71005340013653,None,56.71005340013653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.41397739993408,None,58.41397739993408,None,58.41397739993408,None,None,,0.012470660265535116,1.0089215599000454,58.41397739993408,None,58.41397739993408,None,59.4122570999898,None,59.4122570999898,None,59.4122570999898,None,59.4122570999898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.21482580015436,None,61.21482580015436,None,61.21482580015436,None,None,,0.012228560168296099,1.022922260221094,61.21482580015436,None,61.21482580015436,None,62.23283230001107,None,62.23283230001107,None,62.23283230001107,None,62.23283230001107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.83446170017123,None,63.83446170017123,None,63.83446170017123,None,None,,0.012424460146576166,1.0231285602785647,63.83446170017123,None,63.83446170017123,None,64.85213549993932,None,64.85213549993932,None,64.85213549993932,None,64.85213549993932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.55291750002652,None,66.55291750002652,None,66.55291750002652,None,None,,0.012757760006934404,1.0239336602389812,66.55291750002652,None,66.55291750002652,None,67.56959299976006,None,67.56959299976006,None,67.56959299976006,None,67.56959299976006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.27120479987934,None,69.27120479987934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.27301489980891,None,71.27301489980891,None,73.29396450007334,None,73.29396450007334,None,space,0.6375250997953117,0.008423919789493084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,73.94178079999983,None,73.94178079999983,None,73.94178079999983,74.95941209979355,74.923354299739,75.92719000019133,75.92719000019133,76.92778920009732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.95140689983964,None,76.95140689983964,None,76.95140689983964,None,76.95140689983964,None,80.46446989988908,None,80.46446989988908,None,81.968781999778,None,81.968781999778,None,81.968781999778,None,a,0.5554154003039002,0.008587360382080078,1.0032075601629913,81.968781999778,None,81.968781999778,None,82.98313529975712,None,82.98313529975712,None,82.98313529975712,None,82.98313529975712,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.78708919975907,None,84.78708919975907,None,84.78708919975907,None,a,0.5149138998240232,0.011755859944969416,1.0216296599246562,84.78708919975907,None,84.78708919975907,None,85.8019841001369,None,85.8019841001369,None,85.8019841001369,None,85.8019841001369,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.60525869997218,None,87.60525869997218,None,87.60525869997218,None,None,,0.011890460271388292,1.0223830603063107,87.60525869997218,None,87.60525869997218,None,88.62122960016131,None,88.62122960016131,None,88.62122960016131,None,88.62122960016131,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32407729979604,None,90.32407729979604,None,90.32407729979604,None,l,0.3293912000954151,0.011818360071629286,1.0221696603111923,90.32407729979604,None,90.32407729979604,None,91.34008250012994,None,91.34008250012994,None,91.34008250012994,None,91.34008250012994,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.04268509987742,None,93.04268509987742,None,93.04268509987742,None,a,0.17864179983735085,0.012078759726136923,1.022687359713018,93.04268509987742,None,93.04268509987742,None,94.06065919995308,None,94.06065919995308,None,94.06065919995308,None,94.06065919995308,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.66304669994861,None,95.66304669994861,None,95.66304669994861,None,a,0.07015890022739768,0.01208515977486968,1.0214851596392691,95.66304669994861,None,95.66304669994861,None,96.67881299974397,None,96.67881299974397,None,96.67881299974397,None,96.67881299974397,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.38200529990718,None,98.38200529990718,None,98.38200529990718,None,l,0.06301960023120046,0.011774159967899323,1.0069754598662257,98.38200529990718,None,98.38200529990718,None,99.38218539999798,None,99.38218539999798,None,99.38218539999798,None,99.38218539999798,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.08493690006435,None,101.08493690006435,None,101.08493690006435,None,l,0.11948229977861047,0.011124560609459877,1.0194134605117142,101.08493690006435,None,101.08493690006435,None,102.09797640005127,None,102.09797640005127,None,102.09797640005127,None,102.09797640005127,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.90088129974902,None,103.90088129974902,None,103.90088129974902,None,l,0.7777662998996675,0.012479960452765226,1.0252229608595371,103.90088129974902,None,103.90088129974902,None,104.91872810013592,None,104.91872810013592,None,104.91872810013592,None,104.91872810013592,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6216139998287,None,106.6216139998287,None,106.6216139998287,None,l,0.6391301001422107,0.011255360208451748,1.0210241600871086,106.6216139998287,None,106.6216139998287,None,107.63774369983003,None,107.63774369983003,None,107.63774369983003,None,107.63774369983003,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.23967969976366,None,109.23967969976366,None,109.23967969976366,None,None,,0.012686760164797306,1.0236380603164434,109.23967969976366,None,109.23967969976366,None,110.2568745999597,None,110.2568745999597,None,110.2568745999597,None,110.2568745999597,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.97484869975597,None,111.97484869975597,None,111.97484869975597,None,None,,0.011597959790378809,1.0383295598439872,111.97484869975597,None,111.97484869975597,None,112.9925218001008,None,112.9925218001008,None,112.9925218001008,None,112.9925218001008,None,,,,,,,,,ss,sss,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1729,60.09098978401184,
