A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,5.344721199944615,None,5.344721199944615,None,space,0.6243527997285128,0.011965528130531311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,0,0,0,0,,,,,,,,,5.9618504997342825,None,5.9618504997342825,None,5.9618504997342825,6.962772799655795,6.946039299946278,7.946937499567866,7.946937499567866,8.948032299987972,8.981474899686873,None,8.981474899686873,None,8.981474899686873,None,8.981474899686873,None,12.484370099846274,None,12.484370099846274,None,14.00251319957897,None,14.00251319957897,None,14.00251319957897,None,None,0.00992558989673853,1.020725889597088,14.00251319957897,None,14.00251319957897,None,15.003215399570763,None,15.003215399570763,None,15.003215399570763,None,15.003215399570763,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.804840799886733,None,16.804840799886733,None,16.804840799886733,None,l,0.01177269034087658,1.007771690376103,16.804840799886733,None,16.804840799886733,None,17.805720099713653,None,17.805720099713653,None,17.805720099713653,None,17.805720099713653,None,0.09939149999991059,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.60723609989509,None,19.60723609989509,None,19.60723609989509,None,None,0.01312028942629695,1.0104761896654963,19.60723609989509,None,19.60723609989509,None,20.608110999688506,None,20.608110999688506,None,20.608110999688506,None,20.608110999688506,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.30957719963044,None,22.30957719963044,None,22.30957719963044,None,None,0.011089189909398556,1.006392790004611,22.30957719963044,None,22.30957719963044,None,23.310466299764812,None,23.310466299764812,None,23.310466299764812,None,23.310466299764812,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.91184759978205,None,24.91184759978205,None,24.91184759978205,None,None,0.012513190042227507,1.0092192897573113,24.91184759978205,None,24.91184759978205,None,25.912774599622935,None,25.912774599622935,None,25.912774599622935,None,25.912774599622935,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.51412809966132,None,27.51412809966132,None,27.51412809966132,None,None,0.012250590603798628,1.0087090907618403,27.51412809966132,None,27.51412809966132,None,28.514987599570304,None,28.514987599570304,None,28.514987599570304,None,28.514987599570304,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31658609956503,None,30.31658609956503,None,30.31658609956503,None,None,0.011837590485811234,1.007882290519774,30.31658609956503,None,30.31658609956503,None,31.317433799616992,None,31.317433799616992,None,31.317433799616992,None,31.317433799616992,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.91885509993881,None,32.91885509993881,None,32.91885509993881,None,None,0.012979489751160145,1.010194790083915,32.91885509993881,None,32.91885509993881,None,33.91969619970769,None,33.91969619970769,None,33.91969619970769,None,33.91969619970769,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62123339995742,None,35.62123339995742,None,35.62123339995742,None,None,0.012713789474219084,1.0096220895648003,35.62123339995742,None,35.62123339995742,None,36.62209689989686,None,36.62209689989686,None,36.62209689989686,None,36.62209689989686,None,,dd,dd,Male,Right-handed,Without EEG,,False,2020_May_17_0000,intro,59.93784447043902,
