A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_4.keys,keyPressTrial_4.started,keyPressTrial_4.stopped,green_4.started,green_4.stopped,red_4.started,red_4.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,keyPressTrial_4.rt,keyPressTrial_2.rt,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.22027489962056,None,41.22027489962056,None,41.22027489962056,None,l,0.3499484001658857,0.011331529822200537,1.0069475299678743,41.22027489962056,None,41.22027489962056,None,42.221135899890214,None,42.221135899890214,None,42.221135899890214,None,42.221135899890214,None,a,0.011776130180805922,1.6082839299924672,42.221135899890214,None,42.221135899890214,None,0.03762400010600686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.83923299983144,None,43.83923299983144,None,43.83923299983144,None,None,,0.007950729690492153,1.0167981297709048,43.83923299983144,None,43.83923299983144,None,44.84008099976927,None,44.84008099976927,None,44.84008099976927,None,44.84008099976927,None,None,0.011621030047535896,1.7081939303316176,44.84008099976927,None,44.84008099976927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.54156609997153,None,46.54156609997153,None,46.54156609997153,None,None,,0.010864229872822762,1.0060319299809635,46.54156609997153,None,46.54156609997153,None,47.54240699997172,None,47.54240699997172,None,47.54240699997172,None,47.54240699997172,None,None,0.011333830188959837,1.7074637301266193,47.54240699997172,None,47.54240699997172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2439803997986,None,49.2439803997986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.245727399829775,None,51.245727399829775,None,51.245727399829775,None,51.245727399829775,None,54.74882709980011,None,54.74882709980011,None,56.250144799705595,None,56.250144799705595,None,56.250144799705595,None,None,,0.011304930318146944,1.006792529951781,56.250144799705595,None,56.250144799705595,None,57.25095249991864,None,57.25095249991864,None,57.25095249991864,None,57.25095249991864,None,None,0.011811729986220598,1.708523829933256,57.25095249991864,None,57.25095249991864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9524584999308,None,58.9524584999308,None,58.9524584999308,None,None,,0.010131030343472958,1.0044510303996503,58.9524584999308,None,58.9524584999308,None,59.95332509977743,None,59.95332509977743,None,59.95332509977743,None,59.95332509977743,None,None,0.012086430098861456,1.809126629959792,59.95332509977743,None,59.95332509977743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.75488639995456,None,61.75488639995456,None,61.75488639995456,None,None,,0.012236129958182573,1.0087616299279034,61.75488639995456,None,61.75488639995456,None,62.75578869972378,None,62.75578869972378,None,62.75578869972378,None,62.75578869972378,None,None,0.01183952996507287,1.7085066298022866,62.75578869972378,None,62.75578869972378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.45731809968129,None,64.45731809968129,None,64.45731809968129,None,None,,0.011618829797953367,1.0074585299007595,64.45731809968129,None,64.45731809968129,None,65.45814129989594,None,65.45814129989594,None,65.45814129989594,None,65.45814129989594,None,None,0.011550830211490393,1.6078488305211067,65.45814129989594,None,65.45814129989594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07626979984343,None,67.07626979984343,None,67.07626979984343,None,None,,0.0072689298540353775,1.0154967298731208,67.07626979984343,None,67.07626979984343,None,68.07716439990327,None,68.07716439990327,None,68.07716439990327,None,68.07716439990327,None,None,0.011315329931676388,1.6074409298598766,68.07716439990327,None,68.07716439990327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.67847449984401,None,69.67847449984401,None,69.67847449984401,None,None,,0.011057229712605476,1.0063509298488498,69.67847449984401,None,69.67847449984401,None,70.67938679968938,None,70.67938679968938,None,70.67938679968938,None,70.67938679968938,None,None,0.011561530642211437,1.8081848304718733,70.67938679968938,None,70.67938679968938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,2020_May_18_1142,train-B(short),59.959479480075125,
