A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.021316999569535,None,47.021316999569535,None,47.021316999569535,None,None,,0.011737599968910217,1.0076343999244273,47.021316999569535,None,47.021316999569535,None,48.02213279996067,None,48.02213279996067,None,48.02213279996067,None,48.02213279996067,None,a,0.011136200278997421,1.7071722000837326,48.02213279996067,None,48.02213279996067,None,0.17337979981675744,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.723646899685264,None,49.723646899685264,None,49.723646899685264,None,a,0.36055209999904037,0.011818199884146452,1.007964599877596,49.723646899685264,None,49.723646899685264,None,50.72452689986676,None,50.72452689986676,None,50.72452689986676,None,50.72452689986676,None,None,0.011748800054192543,1.6085753999650478,50.72452689986676,None,50.72452689986676,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.32594329956919,None,52.32594329956919,None,52.32594329956919,None,l,0.33404199965298176,0.011697800364345312,1.0075974999926984,52.32594329956919,None,52.32594329956919,None,53.32685559988022,None,53.32685559988022,None,53.32685559988022,None,53.32685559988022,None,None,0.011204900220036507,1.7071598004549742,53.32685559988022,None,53.32685559988022,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.028279199730605,None,55.028279199730605,None,55.028279199730605,None,None,,0.011767900083214045,1.0077057001180947,55.028279199730605,None,55.028279199730605,None,56.02918139984831,None,56.02918139984831,None,56.02918139984831,None,56.02918139984831,None,None,0.011154199950397015,1.8072183998301625,56.02918139984831,None,56.02918139984831,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.83075989969075,None,57.83075989969075,None,57.83075989969075,None,None,,0.012537400238215923,1.0093228998593986,57.83075989969075,None,57.83075989969075,None,58.831615099683404,None,58.831615099683404,None,58.831615099683404,None,58.831615099683404,None,None,0.011182899586856365,1.6071271998807788,58.831615099683404,None,58.831615099683404,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.43303669989109,None,60.43303669989109,None,60.43303669989109,None,None,,0.01207769988104701,1.0083256997168064,60.43303669989109,None,60.43303669989109,None,61.43389939982444,None,61.43389939982444,None,61.43389939982444,None,61.43389939982444,None,None,0.010057100094854832,1.704981000162661,61.43389939982444,None,61.43389939982444,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.152120999991894,None,63.152120999991894,None,63.152120999991894,None,None,,0.007568699773401022,1.0165124000050128,63.152120999991894,None,63.152120999991894,None,64.15670589962974,None,64.15670589962974,None,64.15670589962974,None,64.15670589962974,None,None,0.009204999543726444,1.7199385995045304,64.15670589962974,None,64.15670589962974,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.87695799954236,None,65.87695799954236,None,65.87695799954236,None,None,,0.007287499960511923,1.0154635002836585,65.87695799954236,None,65.87695799954236,None,66.88907329970971,None,66.88907329970971,None,66.88907329970971,None,66.88907329970971,None,None,0.010347300209105015,1.6057058000005782,66.88907329970971,None,66.88907329970971,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.49233699962497,None,68.49233699962497,None,68.49233699962497,None,None,,0.00994069967418909,1.0040070000104606,68.49233699962497,None,68.49233699962497,None,69.49287189962342,None,69.49287189962342,None,69.49287189962342,None,69.49287189962342,None,None,0.009994599968194962,1.8047266998328269,69.49287189962342,None,69.49287189962342,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.29278279980645,None,71.29278279980645,None,71.29278279980645,None,None,,0.01178279984742403,1.0078704999759793,71.29278279980645,None,71.29278279980645,None,72.29366349987686,None,72.29366349987686,None,72.29366349987686,None,72.29366349987686,None,None,0.011469199787825346,1.7077352995984256,72.29366349987686,None,72.29366349987686,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.99526379955932,None,73.99526379955932,None,73.99526379955932,None,None,,0.011007300112396479,1.007004499901086,73.99526379955932,None,73.99526379955932,None,74.99987649964169,None,74.99987649964169,None,74.99987649964169,None,74.99987649964169,None,None,0.010001000016927719,1.7211187002249062,74.99987649964169,None,74.99987649964169,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71680179983377,None,76.71680179983377,None,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,78.72060339991003,None,78.72060339991003,None,78.72060339991003,None,78.72060339991003,None,82.22155069978908,None,82.22155069978908,None,83.72498800000176,None,83.72498800000176,None,83.72498800000176,None,None,,0.011891199741512537,1.022120799869299,83.72498800000176,None,83.72498800000176,None,84.73991529969499,None,84.73991529969499,None,84.73991529969499,None,84.73991529969499,None,None,0.00908809993416071,1.803428600076586,84.73991529969499,None,84.73991529969499,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5446826997213,None,86.5446826997213,None,86.5446826997213,None,None,,0.006223300006240606,1.0133127002045512,86.5446826997213,None,86.5446826997213,None,87.55886469967663,None,87.55886469967663,None,87.55886469967663,None,87.55886469967663,None,None,0.009561400394886732,1.6038186005316675,87.55886469967663,None,87.55886469967663,None,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,train-A,59.909943468379495,
