A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,5.302266799844801,None,5.302266799844801,None,space,0.6691357996314764,0.00015651853755116463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,0,0,0,0,,,,,,,,,5.986176600214094,None,5.986176600214094,None,5.986176600214094,6.987056499812752,6.970401700120419,7.973929500207305,7.973929500207305,8.974274800159037,8.993164000101388,None,8.993164000101388,None,8.993164000101388,None,8.993164000101388,None,12.508714199997485,None,12.508714199997485,None,14.027082100044936,None,14.027082100044936,None,14.027082100044936,None,l,0.3692552000284195,0.009126180317252874,1.0184769802726805,14.027082100044936,None,14.027082100044936,None,15.027529899962246,None,15.027529899962246,None,15.027529899962246,None,15.027529899962246,None,None,0.011304280254989862,1.8075065803714097,15.027529899962246,None,15.027529899962246,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.829193899873644,None,16.829193899873644,None,16.829193899873644,None,None,,0.0113220801576972,1.006856380496174,16.829193899873644,None,16.829193899873644,None,17.829984900075942,None,17.829984900075942,None,17.829984900075942,None,17.829984900075942,None,l,0.010425780434161425,1.7056831801310182,17.829984900075942,None,17.829984900075942,None,0.3038077000528574,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.53159089991823,None,19.53159089991823,None,19.53159089991823,None,None,,0.011474479921162128,1.0071891797706485,19.53159089991823,None,19.53159089991823,None,20.532442499883473,None,20.532442499883473,None,20.532442499883473,None,20.532442499883473,None,None,0.010718479752540588,1.7062528799287975,20.532442499883473,None,20.532442499883473,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.23384610004723,None,22.23384610004723,None,22.23384610004723,None,None,,0.012320479843765497,1.0088311797007918,22.23384610004723,None,22.23384610004723,None,23.2347324998118,None,23.2347324998118,None,23.2347324998118,None,23.2347324998118,None,None,0.011805379763245583,1.708509179763496,23.2347324998118,None,23.2347324998118,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.936218900140375,None,24.936218900140375,None,24.936218900140375,None,None,,0.011151679791510105,1.0064973798580468,24.936218900140375,None,24.936218900140375,None,25.937076999805868,None,25.937076999805868,None,25.937076999805868,None,25.937076999805868,None,None,0.011126080062240362,1.8071773801930249,25.937076999805868,None,25.937076999805868,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.738627600017935,None,27.738627600017935,None,27.738627600017935,None,None,,0.012449979782104492,1.009177580010146,27.738627600017935,None,27.738627600017935,None,28.739515000022948,None,28.739515000022948,None,28.739515000022948,None,28.739515000022948,None,None,0.01133358059450984,1.8075464805588126,28.739515000022948,None,28.739515000022948,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.541119600180537,None,30.541119600180537,None,30.541119600180537,None,None,,0.012221080251038074,1.0086565800011158,30.541119600180537,None,30.541119600180537,None,31.542061100248247,None,31.542061100248247,None,31.542061100248247,None,31.542061100248247,None,None,0.011124379932880402,1.6070063798688352,31.542061100248247,None,31.542061100248247,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.14337419997901,None,33.14337419997901,None,33.14337419997901,None,None,,0.011706179939210415,1.0076593798585236,33.14337419997901,None,33.14337419997901,None,34.144227699842304,None,34.144227699842304,None,34.144227699842304,None,34.144227699842304,None,None,0.011177980806678534,1.8072845805436373,34.144227699842304,None,34.144227699842304,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.94583539990708,None,35.94583539990708,None,35.94583539990708,None,None,,0.012613680213689804,1.0094560799188912,35.94583539990708,None,35.94583539990708,None,36.94669910008088,None,36.94669910008088,None,36.94669910008088,None,36.94669910008088,None,None,0.010710679925978184,1.6062116799876094,36.94669910008088,None,36.94669910008088,None,,,,,,sohei123,,Male,Right-handed,Without EEG,,False,2020_May_17_1931,train-A,59.92854119357991,
