A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,Participant ID,Age,Sex,Handedness,Experiment Mode,Data modality,EEG headset,Visualize Epochs,date,frameRate,
,,,,,,,,5.181556500028819,None,5.181556500028819,None,space,1.9503823001869023,0.012848499696701765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,0,0,0,0,,,,,,,,,7.150005500297993,None,7.150005500297993,None,7.150005500297993,8.151092700194567,8.134332000277936,9.13506060000509,9.13506060000509,10.13598950020969,10.16937050037086,None,10.16937050037086,None,10.16937050037086,None,10.16937050037086,None,13.672470800112933,None,13.672470800112933,None,15.190450200345367,None,15.190450200345367,None,15.190450200345367,None,a,0.3148193000815809,0.00901991967111826,1.0189542197622359,15.190450200345367,None,15.190450200345367,None,16.191304600331932,None,16.191304600331932,None,16.191304600331932,None,16.191304600331932,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00959650008008,None,18.00959650008008,None,18.00959650008008,None,a,0.8248137999325991,0.010535620152950287,1.022016319911927,18.00959650008008,None,18.00959650008008,None,19.010419700294733,None,19.010419700294733,None,19.010419700294733,None,19.010419700294733,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.817753199953586,None,20.817753199953586,None,20.817753199953586,None,None,,0.012896319851279259,1.0228397198952734,20.817753199953586,None,20.817753199953586,None,21.8323548999615,None,21.8323548999615,None,21.8323548999615,None,21.8323548999615,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.53748880000785,None,23.53748880000785,None,23.53748880000785,None,None,,0.01104462007060647,1.0204895199276507,23.53748880000785,None,23.53748880000785,None,24.552697100210935,None,24.552697100210935,None,24.552697100210935,None,24.552697100210935,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.153868900146335,None,26.153868900146335,None,26.153868900146335,None,None,,0.012704819906502962,1.0238724201917648,26.153868900146335,None,26.153868900146335,None,27.170354300178587,None,27.170354300178587,None,27.170354300178587,None,27.170354300178587,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.774287700187415,None,28.774287700187415,None,28.774287700187415,None,None,,0.01257701963186264,1.0249472199939191,28.774287700187415,None,28.774287700187415,None,29.787828100379556,None,29.787828100379556,None,29.787828100379556,None,29.787828100379556,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.604782100301236,None,31.604782100301236,None,31.604782100301236,None,a,0.5269321999512613,0.011670919600874186,1.024208019953221,31.604782100301236,None,31.604782100301236,None,32.60560530005023,None,32.60560530005023,None,32.60560530005023,None,32.60560530005023,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.224116700235754,None,34.224116700235754,None,34.224116700235754,None,None,,0.012707320041954517,1.0263964203186333,34.224116700235754,None,34.224116700235754,None,35.22458800021559,None,35.22458800021559,None,35.22458800021559,None,35.22458800021559,None,ss,,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1728,59.99394055189666,
