A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,5.3941874001175165,None,5.3941874001175165,None,space,1.5348557997494936,0.014885561540722847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,0,0,0,0,,,,,,,,,6.942735900171101,None,6.942735900171101,None,6.942735900171101,7.943606799934059,7.926921400241554,8.928137000184506,8.928137000184506,9.928780000191182,9.962194700259715,None,9.962194700259715,None,9.962194700259715,None,9.962194700259715,None,13.465281300246716,None,13.465281300246716,None,14.983325200155377,None,14.983325200155377,None,14.983325200155377,None,l,0.23460809979587793,0.009078530129045248,1.0190115300938487,14.983325200155377,None,14.983325200155377,None,15.98411240009591,None,15.98411240009591,None,15.98411240009591,None,15.98411240009591,None,None,0.011522229760885239,1.8081382298842072,15.98411240009591,None,15.98411240009591,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.802394200116396,None,17.802394200116396,None,17.802394200116396,None,None,,0.009889130014926195,1.0207351297140121,17.802394200116396,None,17.802394200116396,None,18.803252900019288,None,18.803252900019288,None,18.803252900019288,None,18.803252900019288,None,l,0.011339629534631968,1.707433529663831,18.803252900019288,None,18.803252900019288,None,0.4161236002109945,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50475150020793,None,20.50475150020793,None,20.50475150020793,None,None,,0.010580130387097597,1.0054053300991654,20.50475150020793,None,20.50475150020793,None,21.505662000272423,None,21.505662000272423,None,21.505662000272423,None,21.505662000272423,None,None,0.011422229465097189,1.7077271295711398,21.505662000272423,None,21.505662000272423,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.20710889995098,None,23.20710889995098,None,23.20710889995098,None,None,,0.01257192948833108,1.0093692294321954,23.20710889995098,None,23.20710889995098,None,24.207977199926972,None,24.207977199926972,None,24.207977199926972,None,24.207977199926972,None,None,0.011155929882079363,1.707235029898584,24.207977199926972,None,24.207977199926972,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.909533299971372,None,25.909533299971372,None,25.909533299971372,None,None,,0.011938029434531927,1.0080941296182573,25.909533299971372,None,25.909533299971372,None,26.91031889989972,None,26.91031889989972,None,26.91031889989972,None,26.91031889989972,None,None,0.01174602983519435,1.8084915298968554,26.91031889989972,None,26.91031889989972,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.711926199961454,None,28.711926199961454,None,28.711926199961454,None,None,,0.012001529801636934,1.0082132294774055,28.711926199961454,None,28.711926199961454,None,29.71277750004083,None,29.71277750004083,None,29.71277750004083,None,29.71277750004083,None,None,0.011265529785305262,1.807511329650879,29.71277750004083,None,29.71277750004083,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.514393500052392,None,31.514393500052392,None,31.514393500052392,None,None,,0.011355629656463861,1.0068776300176978,31.514393500052392,None,31.514393500052392,None,32.51523989997804,None,32.51523989997804,None,32.51523989997804,None,32.51523989997804,None,None,0.011674330104142427,1.6081181298941374,32.51523989997804,None,32.51523989997804,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11662490013987,None,34.11662490013987,None,34.11662490013987,None,None,,0.011590429581701756,1.0074022295884788,34.11662490013987,None,34.11662490013987,None,35.117507399991155,None,35.117507399991155,None,35.117507399991155,None,35.117507399991155,None,None,0.011970529798418283,1.80891472985968,35.117507399991155,None,35.117507399991155,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.919073400087655,None,36.919073400087655,None,36.919073400087655,None,None,,0.012271229643374681,1.0087724295444787,36.919073400087655,None,36.919073400087655,None,37.91995800007135,None,37.91995800007135,None,37.91995800007135,None,37.91995800007135,None,None,0.011588729918003082,1.607937529683113,37.91995800007135,None,37.91995800007135,None,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,train-A,60.012014398957824,
