A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Experiment Mode,Data modality,EEG headset,Visualize Epochs,date,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.730622000060976,None,38.730622000060976,None,38.730622000060976,None,None,0.011901010293513536,1.0389648103155196,38.730622000060976,None,38.730622000060976,None,39.746607600245625,None,39.746607600245625,None,39.746607600245625,None,39.746607600245625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35055229999125,None,41.35055229999125,None,41.35055229999125,None,None,0.010459410026669502,1.0195329100824893,41.35055229999125,None,41.35055229999125,None,42.36549590015784,None,42.36549590015784,None,42.36549590015784,None,42.36549590015784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.06880080001429,None,44.06880080001429,None,44.06880080001429,None,None,0.011654109694063663,1.0214502098970115,44.06880080001429,None,44.06880080001429,None,45.084740300197154,None,45.084740300197154,None,45.084740300197154,None,45.084740300197154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78873010026291,None,46.78873010026291,None,46.78873010026291,None,None,0.011457210406661034,1.0213578105904162,46.78873010026291,None,46.78873010026291,None,47.80359339993447,None,47.80359339993447,None,47.80359339993447,None,47.80359339993447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.406912399921566,None,49.406912399921566,None,49.406912399921566,None,None,0.011430210433900356,1.0215156101621687,49.406912399921566,None,49.406912399921566,None,50.422644400037825,None,50.422644400037825,None,50.422644400037825,None,50.422644400037825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.243054000195116,None,52.243054000195116,None,52.243054000195116,None,None,0.011706009972840548,1.038467810023576,52.243054000195116,None,52.243054000195116,None,53.25885790027678,None,53.25885790027678,None,53.25885790027678,None,53.25885790027678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.86462179990485,None,54.86462179990485,None,54.86462179990485,None,None,0.007889410480856895,1.0141795105300844,54.86462179990485,None,54.86462179990485,None,55.877708700019866,None,55.877708700019866,None,55.877708700019866,None,55.877708700019866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.581411899998784,None,57.581411899998784,None,57.581411899998784,None,None,0.01109350984916091,1.020628109574318,57.581411899998784,None,57.581411899998784,None,58.596315800212324,None,58.596315800212324,None,58.596315800212324,None,58.596315800212324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3997609000653,None,60.3997609000653,None,60.3997609000653,None,None,0.012391309719532728,1.0231175101362169,60.3997609000653,None,60.3997609000653,None,61.41694390028715,None,61.41694390028715,None,61.41694390028715,None,61.41694390028715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.019186300225556,None,63.019186300225556,None,63.019186300225556,None,None,0.011260010302066803,1.0210867105051875,63.019186300225556,None,63.019186300225556,None,64.03263550018892,None,64.03263550018892,None,64.03263550018892,None,64.03263550018892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,22,Male,Right-handed,intro,With EEG,Emotiv EPOC(+),False,2020_May_15_1951,59.96160066152766,
