A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,Participant ID,Age,Sex,Handedness,EEG headset,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.466734600020573,None,8.466734600020573,None,space,1.574971599970013,0.01218992006033659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1841,untitled,3.2.4,59.93701823196384,
0,0,0,0,0,0,0,0,,,,,,,,,10.034736900124699,None,10.034736900124699,None,10.034736900124699,11.035711799981073,11.018930200021714,12.02240450005047,12.02240450005047,13.022047100123018,13.041825500084087,None,13.041825500084087,None,13.041825500084087,None,13.041825500084087,None,16.542971400078386,None,16.542971400078386,None,18.051023199921474,19.06198829994537,18.051023199921474,19.06198829994537,18.051023199921474,19.06198829994537,l,1.6626471998170018,0.005913330242037773,2.8152910300996155,18.051023199921474,19.06198829994537,18.051023199921474,19.06198829994537,20.864399299956858,None,20.864399299956858,None,20.864399299956858,None,20.864399299956858,None,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1841,untitled,3.2.4,59.93701823196384,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.667502500116825,23.685106500051916,22.667502500116825,23.685106500051916,22.667502500116825,23.685106500051916,None,,0.010957630118355155,2.7067521300632507,22.667502500116825,23.685106500051916,22.667502500116825,23.685106500051916,25.36951750004664,None,25.36951750004664,None,25.36951750004664,None,25.36951750004664,None,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_1841,untitled,3.2.4,59.93701823196384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.068263000110164,28.068360100034624,27.068263000110164,28.068360100034624,27.068263000110164,28.068360100034624,l,1.6937783998437226,0.012707229936495423,2.71129732998088,27.068263000110164,28.068360100034624,27.068263000110164,28.068360100034624,,,,,,,,,,,,,,,,,,
