A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.611988299991935,None,38.611988299991935,None,38.611988299991935,None,None,0.012007819954305887,1.0224691201001406,38.611988299991935,None,38.611988299991935,None,39.62640660023317,None,39.62640660023317,None,39.62640660023317,None,39.62640660023317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.229945600032806,None,41.229945600032806,None,41.229945600032806,None,None,0.012908119708299637,1.0241360198706388,41.229945600032806,None,41.229945600032806,None,42.24754559993744,None,42.24754559993744,None,42.24754559993744,None,42.24754559993744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95108469994739,None,43.95108469994739,None,43.95108469994739,None,None,0.011776919476687908,1.0203002197667956,43.95108469994739,None,43.95108469994739,None,44.96801620023325,None,44.96801620023325,None,44.96801620023325,None,44.96801620023325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66855220030993,None,46.66855220030993,None,46.66855220030993,None,None,0.01223391992971301,1.02280291961506,46.66855220030993,None,46.66855220030993,None,47.685651999898255,None,47.685651999898255,None,47.685651999898255,None,47.685651999898255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.287296399939805,None,49.287296399939805,None,49.287296399939805,None,None,0.012600419577211142,1.0234165196307003,49.287296399939805,None,49.287296399939805,None,50.30551249999553,None,50.30551249999553,None,50.30551249999553,None,50.30551249999553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.10716600017622,None,52.10716600017622,None,52.10716600017622,None,None,0.012668419629335403,1.0234437198378146,52.10716600017622,None,52.10716600017622,None,53.123583199921995,None,53.123583199921995,None,53.123583199921995,None,53.123583199921995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.72651119995862,None,54.72651119995862,None,54.72651119995862,None,None,0.012163219507783651,1.0228337193839252,54.72651119995862,None,54.72651119995862,None,55.74213270004839,None,55.74213270004839,None,55.74213270004839,None,55.74213270004839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.444537200033665,None,57.444537200033665,None,57.444537200033665,None,None,0.012690719682723284,1.0238849199377,57.444537200033665,None,57.444537200033665,None,58.461330300197005,None,58.461330300197005,None,58.461330300197005,None,58.461330300197005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.263958000112325,None,60.263958000112325,None,60.263958000112325,None,None,0.012304720003157854,1.0232439199462533,60.263958000112325,None,60.263958000112325,None,61.28064320003614,None,61.28064320003614,None,61.28064320003614,None,61.28064320003614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.88299129996449,None,62.88299129996449,None,62.88299129996449,None,None,0.012693219818174839,1.0238234200514853,62.88299129996449,None,62.88299129996449,None,63.89996130019426,None,63.89996130019426,None,63.89996130019426,None,63.89996130019426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,Male,Right-handed,Without EEG,,False,2020_May_17_0110,intro,59.93543758530538,
