A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.95887709999806,None,47.95887709999806,None,47.95887709999806,None,None,,0.011806050024461001,1.0244515500380658,47.95887709999806,None,47.95887709999806,None,48.95974130000104,None,48.95974130000104,None,48.95974130000104,None,48.95974130000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.56110570000601,None,50.56110570000601,None,50.56110570000601,None,None,,0.012855649954872206,1.0100477499654517,50.56110570000601,None,50.56110570000601,None,51.56201640001382,None,51.56201640001382,None,51.56201640001382,None,51.56201640001382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.28015950002009,None,53.28015950002009,None,53.28015950002009,None,None,,0.01101195000228472,1.0230174500029534,53.28015950002009,None,53.28015950002009,None,54.28108010001597,None,54.28108010001597,None,54.28108010001597,None,54.28108010001597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.98249019999639,None,55.98249019999639,None,55.98249019999639,None,None,,0.011973850021604449,1.0080465500068385,55.98249019999639,None,55.98249019999639,None,56.98341340001207,None,56.98341340001207,None,56.98341340001207,None,56.98341340001207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.60147990001133,None,58.60147990001133,None,58.60147990001133,None,None,,0.012415549950674176,1.0257036499679089,58.60147990001133,None,58.60147990001133,None,59.60242660000222,None,59.60242660000222,None,59.60242660000222,None,59.60242660000222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42064090000349,None,61.42064090000349,None,61.42064090000349,None,None,,0.008542750001652166,1.0178653500042856,61.42064090000349,None,61.42064090000349,None,62.421484699996654,None,62.421484699996654,None,62.421484699996654,None,62.421484699996654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.02282189999823,None,64.02282189999823,None,64.02282189999823,None,None,,0.012648250034544617,1.0095784500299487,64.02282189999823,None,64.02282189999823,None,65.02380029999767,None,65.02380029999767,None,65.02380029999767,None,65.02380029999767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.74194700000226,None,66.74194700000226,None,66.74194700000226,None,None,,0.011371150001650676,1.0235734499874525,66.74194700000226,None,66.74194700000226,None,67.74284320001607,None,67.74284320001607,None,67.74284320001607,None,67.74284320001607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5610744000005,None,69.5610744000005,None,69.5610744000005,None,None,,0.008723350008949637,1.0181116499879863,69.5610744000005,None,69.5610744000005,None,70.56186440002057,None,70.56186440002057,None,70.56186440002057,None,70.56186440002057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1799858000013,None,72.1799858000013,None,72.1799858000013,None,None,,0.010276049957610667,1.0214252499572467,72.1799858000013,None,72.1799858000013,None,73.18082300000242,None,73.18082300000242,None,73.18082300000242,None,73.18082300000242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
