A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8029336000036,None,136.8029336000036,None,136.8029336000036,None,None,0.008712149981874973,1.0182108499866445,136.8029336000036,None,136.8029336000036,None,137.80379560001893,None,137.80379560001893,None,137.80379560001893,None,137.80379560001893,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.6110738000134,None,139.6110738000134,None,139.6110738000134,None,None,0.011855750053655356,1.022100250062067,139.6110738000134,None,139.6110738000134,None,140.62539210001705,None,140.62539210001705,None,140.62539210001705,None,140.62539210001705,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.33064660002128,None,142.33064660002128,None,142.33064660002128,None,None,0.01148314998135902,1.021265349991154,142.33064660002128,None,142.33064660002128,None,143.3443968000065,None,143.3443968000065,None,143.3443968000065,None,143.3443968000065,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.94835220000823,None,144.94835220000823,None,144.94835220000823,None,None,0.008510449988534674,1.0160600499657448,144.94835220000823,None,144.94835220000823,None,145.9630851999973,None,145.9630851999973,None,145.9630851999973,None,145.9630851999973,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.6673684999987,None,147.6673684999987,None,147.6673684999987,None,None,0.01140165000106208,1.0219021500088274,147.6673684999987,None,147.6673684999987,None,148.6824494000175,None,148.6824494000175,None,148.6824494000175,None,148.6824494000175,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.28415610000957,None,150.28415610000957,None,150.28415610000957,None,None,0.011582350009121,1.0226027499884367,150.28415610000957,None,150.28415610000957,None,151.30076040001586,None,151.30076040001586,None,151.30076040001586,None,151.30076040001586,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.90654170000926,None,152.90654170000926,None,152.90654170000926,None,None,0.00957345002098009,1.017714950023219,152.90654170000926,None,152.90654170000926,None,153.9197454000241,None,153.9197454000241,None,153.9197454000241,None,153.9197454000241,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6216515999986,None,155.6216515999986,None,155.6216515999986,None,None,0.011774250015150756,1.0224437500000931,155.6216515999986,None,155.6216515999986,None,156.63936210001702,None,156.63936210001702,None,156.63936210001702,None,156.63936210001702,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.34014870002284,None,158.34014870002284,None,158.34014870002284,None,None,0.012837150017730892,1.0080354500096291,158.34014870002284,None,158.34014870002284,None,159.3418150000216,None,159.3418150000216,None,159.3418150000216,None,159.3418150000216,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.14720690000104,None,161.14720690000104,None,161.14720690000104,None,None,0.011313249997328967,1.0209538500057533,161.14720690000104,None,161.14720690000104,None,162.16110769999796,None,162.16110769999796,None,162.16110769999796,None,162.16110769999796,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.8666320000193,None,163.8666320000193,None,163.8666320000193,None,None,0.009072050044778734,1.0166746500472073,163.8666320000193,None,163.8666320000193,None,164.8803453000146,None,164.8803453000146,None,164.8803453000146,None,164.8803453000146,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.4877969000081,None,166.4877969000081,None,166.4877969000081,None,None,0.008035249979002401,1.0144419499847572,166.4877969000081,None,166.4877969000081,None,167.4993408000155,None,167.4993408000155,None,167.4993408000155,None,167.4993408000155,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.20744810000178,None,169.20744810000178,None,169.20744810000178,None,None,0.007655850029550493,1.0140604500484187,169.20744810000178,None,169.20744810000178,None,170.21828600001754,None,170.21828600001754,None,170.21828600001754,None,170.21828600001754,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.81939770001918,None,171.81939770001918,None,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,1,2020_Nov_14_1819,intro,59.94786933018691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.8209195000236,None,173.8209195000236,None,,,,,,,,,,,,
