A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,keyPressTrial_3.rt,Participant ID,Age,Sex,Handedness,EEG headset,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.513705000048503,None,16.513705000048503,None,space,4.916770699899644,0.009589779656380415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,0,0,0,0,,,,,,,,,21.44618059997447,None,21.44618059997447,None,21.44618059997447,22.447074899915606,22.430398599943146,23.43126010010019,23.43126010010019,24.432171900058165,24.465516600059345,None,24.465516600059345,None,24.465516600059345,None,24.465516600059345,None,27.968530599959195,None,27.968530599959195,None,29.486894899979234,None,29.486894899979234,None,29.486894899979234,None,a,0.4848732000682503,0.00926424004137516,1.0194532400928438,29.486894899979234,None,29.486894899979234,None,30.4874197000172,None,30.4874197000172,None,30.4874197000172,None,30.4874197000172,None,None,0.011712939944118261,1.8083466400858015,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28905829996802,None,32.28905829996802,None,32.28905829996802,None,None,,0.011717840330675244,1.007641140371561,32.28905829996802,None,32.28905829996802,None,33.2898665999528,None,33.2898665999528,None,33.2898665999528,None,33.2898665999528,None,None,0.012011439772322774,1.7089388398453593,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.991390800103545,None,34.991390800103545,None,34.991390800103545,None,None,,0.012235239846631885,1.0086812400259078,34.991390800103545,None,34.991390800103545,None,35.99221280007623,None,35.99221280007623,None,35.99221280007623,None,35.99221280007623,None,None,0.01150364032946527,1.70781044033356,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.693700700066984,None,37.693700700066984,None,37.693700700066984,None,None,,0.012140940176323056,1.0085109402425587,37.693700700066984,None,37.693700700066984,None,38.69452119991183,None,38.69452119991183,None,38.69452119991183,None,38.69452119991183,None,l,0.011698440182954073,1.708477740176022,0.39042670000344515,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.39608100010082,None,40.39608100010082,None,40.39608100010082,None,None,,0.01143753994256258,1.0070212399587035,40.39608100010082,None,40.39608100010082,None,41.396928400034085,None,41.396928400034085,None,41.396928400034085,None,41.396928400034085,None,a,0.011615140130743384,1.8081543401349336,0.5041203999426216,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.19843790004961,None,43.19843790004961,None,43.19843790004961,None,a,0.31939769978635013,0.012263540178537369,1.0087732400279492,43.19843790004961,None,43.19843790004961,None,44.19936339999549,None,44.19936339999549,None,44.19936339999549,None,44.19936339999549,None,a,0.011527339927852154,1.808063339907676,1.1814119999762625,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00098149990663,None,46.00098149990663,None,46.00098149990663,None,a,0.14825800014659762,0.011800240026786923,1.0077696398366243,46.00098149990663,None,46.00098149990663,None,47.001837299903855,None,47.001837299903855,None,47.001837299903855,None,47.001837299903855,None,a,0.011420440161600709,1.6077174399979413,0.1311794000212103,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.60328659997322,None,48.60328659997322,None,48.60328659997322,None,a,0.05830110004171729,0.01226334017701447,1.0088107401970774,48.60328659997322,None,48.60328659997322,None,49.60408980003558,None,49.60408980003558,None,49.60408980003558,None,49.60408980003558,None,l,0.009215040132403374,1.80333144008182,0.4143805999774486,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.40566430008039,None,51.40566430008039,None,51.40566430008039,None,l,0.12017290014773607,0.012455940013751388,1.0091246399097145,51.40566430008039,None,51.40566430008039,None,52.406603100011125,None,52.406603100011125,None,52.406603100011125,None,52.406603100011125,None,None,0.011624640319496393,1.6080738401506096,,,,Male,Right-handed,Emotiv EPOC(+),2020_Apr_13_2057,untitled,3.2.4,59.81891616304199,
