A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_3.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
,,,,,,,,6.406782899983227,None,6.406782899983227,None,space,10.880111600010423,0.0039738399209454656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,0,0,0,0,,,,,,,,,17.302563199977158,None,17.302563199977158,None,17.302563199977158,18.303349299996626,18.286656999989646,19.28751779999584,19.28751779999584,20.28847629998927,20.321810800000094,None,20.321810800000094,None,20.321810800000094,None,20.321810800000094,None,23.824803399998927,None,23.824803399998927,None,25.34293409998645,None,25.34293409998645,None,25.34293409998645,None,a,0.21349960000952706,0.008458590018562973,1.0176982900011353,25.34293409998645,None,25.34293409998645,None,26.344777699996484,None,26.344777699996484,None,26.344777699996484,None,26.344777699996484,None,None,0.010511289990972728,1.805821290006861,26.344777699996484,None,26.344777699996484,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.145309799991082,None,28.145309799991082,None,28.145309799991082,None,l,0.22091490001184866,0.010736490017734468,1.0056782900064718,28.145309799991082,None,28.145309799991082,None,29.14612959997612,None,29.14612959997612,None,29.14612959997612,None,29.14612959997612,None,None,0.011792389996116981,1.7083113899861928,29.14612959997612,None,29.14612959997612,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.86429989998578,None,30.86429989998578,None,30.86429989998578,None,a,0.042282899987185374,0.006765290017938241,1.0144631900184322,30.86429989998578,None,30.86429989998578,None,31.865158400003565,None,31.865158400003565,None,31.865158400003565,None,31.865158400003565,None,None,0.01181479002116248,1.7083338900411036,31.865158400003565,None,31.865158400003565,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.56651819997933,None,33.56651819997933,None,33.56651819997933,None,a,0.15121429998544045,0.010898990003624931,1.005958389985608,33.56651819997933,None,33.56651819997933,None,34.56745649999357,None,34.56745649999357,None,34.56745649999357,None,34.56745649999357,None,None,0.010796390008181334,1.706397990026744,34.56745649999357,None,34.56745649999357,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.26897469998221,None,36.26897469998221,None,36.26897469998221,None,None,,0.012230890017235652,1.0086410900112242,36.26897469998221,None,36.26897469998221,None,37.28660609998042,None,37.28660609998042,None,37.28660609998042,None,37.28660609998042,None,None,0.009363990015117452,1.8201727900013793,37.28660609998042,None,37.28660609998042,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08816869999282,None,39.08816869999282,None,39.08816869999282,None,a,0.6855959999957122,0.010608090000459924,1.005400690017268,39.08816869999282,None,39.08816869999282,None,40.08898309999495,None,40.08898309999495,None,40.08898309999495,None,40.08898309999495,None,None,0.010648390016285703,1.8062262900057249,40.08898309999495,None,40.08898309999495,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.90730110000004,None,41.90730110000004,None,41.90730110000004,None,l,0.354575700010173,0.010296690015820786,1.0213594899978489,41.90730110000004,None,41.90730110000004,None,42.925176199991256,None,42.925176199991256,None,42.925176199991256,None,42.925176199991256,None,None,0.010044690046925098,1.621439390029991,42.925176199991256,None,42.925176199991256,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.52620169997681,None,44.52620169997681,None,44.52620169997681,None,None,,0.011539789993548766,1.0073268900159746,44.52620169997681,None,44.52620169997681,None,45.52704049999011,None,45.52704049999011,None,45.52704049999011,None,45.52704049999011,None,None,0.011619890021393076,1.8081022900296375,45.52704049999011,None,45.52704049999011,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32860179999261,None,47.32860179999261,None,47.32860179999261,None,a,0.5260063999739941,0.011779389984440058,1.0076971899834462,47.32860179999261,None,47.32860179999261,None,48.32954839998274,None,48.32954839998274,None,48.32954839998274,None,48.32954839998274,None,None,0.010673290002159774,1.606025690009119,48.32954839998274,None,48.32954839998274,None,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1814,train-A(short),59.839498494092545,
