A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.602868699934334,None,41.602868699934334,None,41.602868699934334,None,None,0.012427620124071836,1.0090255197137594,41.602868699934334,None,41.602868699934334,None,42.60372929973528,None,42.60372929973528,None,42.60372929973528,None,42.60372929973528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.20514949969947,None,44.20514949969947,None,44.20514949969947,None,None,0.012407519854605198,1.0089657199569046,44.20514949969947,None,44.20514949969947,None,45.20601709978655,None,45.20601709978655,None,45.20601709978655,None,45.20601709978655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.90756309963763,None,46.90756309963763,None,46.90756309963763,None,None,0.011686719954013824,1.0075517199002206,46.90756309963763,None,46.90756309963763,None,47.90838769963011,None,47.90838769963011,None,47.90838769963011,None,47.90838769963011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.609869400039315,None,49.609869400039315,None,49.609869400039315,None,None,0.012623619753867388,1.0094017200171947,49.609869400039315,None,49.609869400039315,None,50.610771199688315,None,50.610771199688315,None,50.610771199688315,None,50.610771199688315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.212122099939734,None,52.212122099939734,None,52.212122099939734,None,None,0.011298020370304585,1.0068362201564014,52.212122099939734,None,52.212122099939734,None,53.21302659995854,None,53.21302659995854,None,53.21302659995854,None,53.21302659995854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.01461359998211,None,55.01461359998211,None,55.01461359998211,None,None,0.012380320113152266,1.0089199203066528,55.01461359998211,None,55.01461359998211,None,56.01550199976191,None,56.01550199976191,None,56.01550199976191,None,56.01550199976191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6168953999877,None,57.6168953999877,None,57.6168953999877,None,None,0.012321819551289082,1.0089593194425106,57.6168953999877,None,57.6168953999877,None,58.61777939973399,None,58.61777939973399,None,58.61777939973399,None,58.61777939973399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.31920660007745,None,60.31920660007745,None,60.31920660007745,None,None,0.012544520199298859,1.0092759197577834,60.31920660007745,None,60.31920660007745,None,61.32010839972645,None,61.32010839972645,None,61.32010839972645,None,61.32010839972645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.12168419966474,None,63.12168419966474,None,63.12168419966474,None,None,0.012365520466119051,1.008895920123905,63.12168419966474,None,63.12168419966474,None,64.12252649990842,None,64.12252649990842,None,64.12252649990842,None,64.12252649990842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.72397079970688,None,65.72397079970688,None,65.72397079970688,None,None,0.012419320177286863,1.0090469201095402,65.72397079970688,None,65.72397079970688,None,66.72483549965546,None,66.72483549965546,None,66.72483549965546,None,66.72483549965546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gg,gg,Male,Right-handed,Without EEG,,False,2020_May_17_0101,intro,59.926350610073165,
