A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_2.rt,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60776809975505,None,39.60776809975505,None,39.60776809975505,None,None,,0.012135750148445368,1.0228283503092825,39.60776809975505,None,39.60776809975505,None,40.624577099923044,None,40.624577099923044,None,40.624577099923044,None,40.624577099923044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22826649993658,None,42.22826649993658,None,42.22826649993658,None,None,,0.011061450000852346,1.0203885501250625,42.22826649993658,None,42.22826649993658,None,43.243804399855435,None,43.243804399855435,None,43.243804399855435,None,43.243804399855435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.94740459974855,None,44.94740459974855,None,44.94740459974855,None,None,,0.011157150380313396,1.0210041501559317,44.94740459974855,None,44.94740459974855,None,45.96288949996233,None,45.96288949996233,None,45.96288949996233,None,45.96288949996233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66532019991428,None,47.66532019991428,None,47.66532019991428,None,None,,0.011738949920982122,1.0247169500216842,47.66532019991428,None,47.66532019991428,None,48.68190860003233,None,48.68190860003233,None,48.68190860003233,None,48.68190860003233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.28272369969636,None,50.28272369969636,None,50.28272369969636,None,None,,0.012723549734801054,1.0240640500560403,50.28272369969636,None,50.28272369969636,None,51.30051659978926,None,51.30051659978926,None,51.30051659978926,None,51.30051659978926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.102854299824685,None,53.102854299824685,None,53.102854299824685,None,None,,0.012734950054436922,1.0241601504385471,53.102854299824685,None,53.102854299824685,None,54.11962689971551,None,54.11962689971551,None,54.11962689971551,None,54.11962689971551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.737663299776614,None,55.737663299776614,None,55.737663299776614,None,None,,0.011331049725413322,1.0375756500288844,55.737663299776614,None,55.737663299776614,None,56.75520179979503,None,56.75520179979503,None,56.75520179979503,None,56.75520179979503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.46038950001821,None,58.46038950001821,None,58.46038950001821,None,None,,0.01075055031105876,1.0199377504177392,58.46038950001821,None,58.46038950001821,None,59.47450829995796,None,59.47450829995796,None,59.47450829995796,None,59.47450829995796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.27670879988,None,61.27670879988,None,61.27670879988,None,None,,0.012504950165748596,1.0237557501532137,61.27670879988,None,61.27670879988,None,62.293905599974096,None,62.293905599974096,None,62.293905599974096,None,62.293905599974096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89434270001948,None,63.89434270001948,None,63.89434270001948,None,None,,0.013113950379192829,1.0249025500379503,63.89434270001948,None,63.89434270001948,None,64.91242800001055,None,64.91242800001055,None,64.91242800001055,None,64.91242800001055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.61476189969108,None,66.61476189969108,None,66.61476189969108,None,None,,0.01239044964313507,1.0235206498764455,66.61476189969108,None,66.61476189969108,None,67.63143429998308,None,67.63143429998308,None,67.63143429998308,None,67.63143429998308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.33290279982612,None,69.33290279982612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.33467109967023,None,71.33467109967023,None,73.35545619996265,None,73.35545619996265,None,space,11.536194399930537,0.009554900228977203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,84.91316360002384,None,84.91316360002384,None,84.91316360002384,85.93078000005335,85.89510389976203,86.89829909987748,86.89829909987748,87.89920519990847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.92135520000011,None,87.92135520000011,None,87.92135520000011,None,87.92135520000011,None,91.43562689982355,None,91.43562689982355,None,92.94056569971144,None,92.94056569971144,None,92.94056569971144,None,None,0.00852345023304224,1.0155668500810862,92.94056569971144,None,92.94056569971144,None,93.97180210007355,None,93.97180210007355,None,93.97180210007355,None,93.97180210007355,None,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.77448150003329,None,95.77448150003329,None,95.77448150003329,None,None,0.011670649517327547,1.0222134497016668,95.77448150003329,None,95.77448150003329,None,96.78975469991565,None,96.78975469991565,None,96.78975469991565,None,96.78975469991565,None,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1810,intro,59.978899332369295,
