A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44398669991642,None,39.44398669991642,None,39.44398669991642,None,None,0.012044379953294992,1.022633079905063,39.44398669991642,None,39.44398669991642,None,40.458592399954796,None,40.458592399954796,None,40.458592399954796,None,40.458592399954796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.062340799719095,None,42.062340799719095,None,42.062340799719095,None,None,0.01269477978348732,1.0239113797433674,42.062340799719095,None,42.062340799719095,None,43.07948359986767,None,43.07948359986767,None,43.07948359986767,None,43.07948359986767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.783220999874175,None,44.783220999874175,None,44.783220999874175,None,None,0.011461579706519842,1.0215163799002767,44.783220999874175,None,44.783220999874175,None,45.79860490001738,None,45.79860490001738,None,45.79860490001738,None,45.79860490001738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.501653799787164,None,47.501653799787164,None,47.501653799787164,None,None,0.012528379913419485,1.0222172802314162,47.501653799787164,None,47.501653799787164,None,48.51762280007824,None,48.51762280007824,None,48.51762280007824,None,48.51762280007824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.121122600045055,None,50.121122600045055,None,50.121122600045055,None,None,0.011366179678589106,1.021437879651785,50.121122600045055,None,50.121122600045055,None,51.13655659975484,None,51.13655659975484,None,51.13655659975484,None,51.13655659975484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.940194099675864,None,52.940194099675864,None,52.940194099675864,None,None,0.011482680216431618,1.021514980122447,52.940194099675864,None,52.940194099675864,None,53.95527580007911,None,53.95527580007911,None,53.95527580007911,None,53.95527580007911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55783540010452,None,55.55783540010452,None,55.55783540010452,None,None,0.012420480139553547,1.0093307797797024,55.55783540010452,None,55.55783540010452,None,56.557985600084066,None,56.557985600084066,None,56.557985600084066,None,56.557985600084066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.259724699892104,None,58.259724699892104,None,58.259724699892104,None,None,0.012354579754173756,1.0233082794584334,58.259724699892104,None,58.259724699892104,None,59.276596299838275,None,59.276596299838275,None,59.276596299838275,None,59.276596299838275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.079956300091,None,61.079956300091,None,61.079956300091,None,None,0.011810879688709974,1.022539780009538,61.079956300091,None,61.079956300091,None,62.09594799997285,None,62.09594799997285,None,62.09594799997285,None,62.09594799997285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69958999985829,None,63.69958999985829,None,63.69958999985829,None,None,0.01096007926389575,1.0208180793561041,63.69958999985829,None,63.69958999985829,None,64.7151460996829,None,64.7151460996829,None,64.7151460996829,None,64.7151460996829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1750,intro,59.92143103523163,
