A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.89379799971357,None,39.89379799971357,None,39.89379799971357,None,None,0.012923890259116888,1.0101155904121697,39.89379799971357,None,39.89379799971357,None,40.894641399849206,None,40.894641399849206,None,40.894641399849206,None,40.894641399849206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.496021699626,None,42.496021699626,None,42.496021699626,None,None,0.012179289944469929,1.0085524902679026,42.496021699626,None,42.496021699626,None,43.496907299850136,None,43.496907299850136,None,43.496907299850136,None,43.496907299850136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.198380899615586,None,45.198380899615586,None,45.198380899615586,None,None,0.012242190074175596,1.0086434902623296,45.198380899615586,None,45.198380899615586,None,46.199275399558246,None,46.199275399558246,None,46.199275399558246,None,46.199275399558246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.91792869986966,None,47.91792869986966,None,47.91792869986966,None,None,0.011097789742052555,1.0230705896392465,47.91792869986966,None,47.91792869986966,None,48.918348599690944,None,48.918348599690944,None,48.918348599690944,None,48.918348599690944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.519710099790245,None,50.519710099790245,None,50.519710099790245,None,None,0.012336490210145712,1.0088946903124452,50.519710099790245,None,50.519710099790245,None,51.52061969973147,None,51.52061969973147,None,51.52061969973147,None,51.52061969973147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.32221439993009,None,53.32221439993009,None,53.32221439993009,None,None,0.011712790001183748,1.0076696895994246,53.32221439993009,None,53.32221439993009,None,54.3230343000032,None,54.3230343000032,None,54.3230343000032,None,54.3230343000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.924471699632704,None,55.924471699632704,None,55.924471699632704,None,None,0.01243238989263773,1.0090146898292005,55.924471699632704,None,55.924471699632704,None,56.92530529992655,None,56.92530529992655,None,56.92530529992655,None,56.92530529992655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62678919965401,None,58.62678919965401,None,58.62678919965401,None,None,0.011984890326857567,1.0081400903873146,58.62678919965401,None,58.62678919965401,None,59.627681399695575,None,59.627681399695575,None,59.627681399695575,None,59.627681399695575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42924979981035,None,61.42924979981035,None,61.42924979981035,None,None,0.012859989888966084,1.0099542899988592,61.42924979981035,None,61.42924979981035,None,62.43010509992018,None,62.43010509992018,None,62.43010509992018,None,62.43010509992018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.04821289982647,None,64.04821289982647,None,64.04821289982647,None,None,0.011966290418058634,1.024756790138781,64.04821289982647,None,64.04821289982647,None,65.0490587996319,None,65.0490587996319,None,65.0490587996319,None,65.0490587996319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75053169997409,None,66.75053169997409,None,66.75053169997409,None,None,0.012456790078431368,1.0090946899726987,66.75053169997409,None,66.75053169997409,None,67.75142199965194,None,67.75142199965194,None,67.75142199965194,None,67.75142199965194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.45291589992121,None,69.45291589992121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4546694997698,None,71.4546694997698,None,73.48980449978262,None,73.48980449978262,None,space,22.64706979971379,0.009996179956942797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil789,,Male,Right-handed,Without EEG,,False,2020_May_17_2054,intro,59.993400703609076,
