A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
,,,,,,,,5.666219699662179,None,5.666219699662179,None,space,2.205969600006938,0.010866701137274504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_17_1719,intro,59.943233730153395,
0,0,0,0,0,0,0,0,,,,,,,,,7.86820359993726,None,7.86820359993726,None,7.86820359993726,8.869254800025374,8.852560099679977,9.853363499976695,9.853363499976695,10.854221799876541,10.887591499835253,None,10.887591499835253,None,10.887591499835253,None,10.887591499835253,None,14.39153919974342,None,14.39153919974342,None,15.908906399738044,None,15.908906399738044,None,15.908906399738044,None,None,0.008653649594634771,1.0181396496482193,15.908906399738044,None,15.908906399738044,None,16.909500599838793,None,16.909500599838793,None,16.909500599838793,None,16.909500599838793,None,,,Male,Right-handed,Without EEG,,False,2020_May_17_1719,intro,59.943233730153395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.727911199908704,None,18.727911199908704,None,18.727911199908704,None,None,0.0100465496070683,1.0211263494566083,18.727911199908704,None,18.727911199908704,None,,,,,,,,,,,,,,,,,,,
