A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,Audiovisual Cue,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04052980002598,None,92.04052980002598,None,92.04052980002598,None,None,0.012348549964372069,1.0103004499687813,92.04052980002598,None,92.04052980002598,None,93.04196160001447,None,93.04196160001447,None,93.04196160001447,None,93.04196160001447,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.64319300002535,None,94.64319300002535,None,94.64319300002535,None,right,0.012381749984342605,1.0101228499843273,94.64319300002535,None,94.64319300002535,None,95.6438415000157,None,95.6438415000157,None,95.6438415000157,None,95.6438415000157,None,0.5601996000041254,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.34539850000874,None,97.34539850000874,None,97.34539850000874,None,backspace,0.012666249967878684,1.0276772499782965,97.34539850000874,None,97.34539850000874,None,98.36278130000574,None,98.36278130000574,None,98.36278130000574,None,98.36278130000574,None,0.0743116999801714,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0700393000152,None,100.0700393000152,None,100.0700393000152,None,lshift,0.007303849997697398,1.0162065499753226,100.0700393000152,None,100.0700393000152,None,101.08185080002295,None,101.08185080002295,None,101.08185080002295,None,101.08185080002295,None,0.5095718999800738,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.68413770000916,None,102.68413770000916,None,102.68413770000916,None,return,0.01129955000942573,1.02354424999794,102.68413770000916,None,102.68413770000916,None,103.70132960000774,None,103.70132960000774,None,103.70132960000774,None,103.70132960000774,None,0.1268534999981057,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.50287810000009,None,105.50287810000009,None,105.50287810000009,None,return,0.012274749955395237,1.0099470499553718,105.50287810000009,None,105.50287810000009,None,106.50374730001204,None,106.50374730001204,None,106.50374730001204,None,106.50374730001204,None,0.876134300022386,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.10740330000408,None,108.10740330000408,None,108.10740330000408,None,None,0.010073549987282604,1.0056266500032507,108.10740330000408,None,108.10740330000408,None,109.10555630002636,None,109.10555630002636,None,109.10555630002636,None,109.10555630002636,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8071762000036,None,110.8071762000036,None,110.8071762000036,None,return,0.011728849989594892,1.0076324499677867,110.8071762000036,None,110.8071762000036,None,111.80791850000969,None,111.80791850000969,None,111.80791850000969,None,111.80791850000969,None,0.8512279000133276,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6102239000029,None,113.6102239000029,None,113.6102239000029,None,None,0.01189794999663718,1.026123949995963,113.6102239000029,None,113.6102239000029,None,114.62714560001041,None,114.62714560001041,None,114.62714560001041,None,114.62714560001041,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.23006430000532,None,116.23006430000532,None,116.23006430000532,None,None,0.012048250006046146,1.0096012499998324,116.23006430000532,None,116.23006430000532,None,117.22920800000429,None,117.22920800000429,None,117.22920800000429,None,117.22920800000429,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.93125210001017,None,118.93125210001017,None,118.93125210001017,None,None,0.012295749998884276,1.0234727499773726,118.93125210001017,None,118.93125210001017,None,119.9485352000047,None,119.9485352000047,None,119.9485352000047,None,119.9485352000047,None,,,,,,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.65015170001425,None,121.65015170001425,None,,,,,,,Male,Right-handed,With EEG,Emotiv EPOC(+),False,0,2020_Nov_14_1758,intro,59.96091747655104,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.65153270002338,None,123.65153270002338,None,,,,,,,,,,,,
