A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.rt,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,Participant ID,Age,Sex,Handedness,Experiment Mode,Data modality,EEG headset,Visualize Epochs,date,frameRate,
,,,,,,,,6.109114099992439,None,6.109114099992439,None,space,4.649075500201434,0.0027749002911150455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,0,0,0,0,,,,,,,,,10.76273119985126,None,10.76273119985126,None,10.76273119985126,11.763589599868283,11.74690549983643,12.747826599981636,12.747826599981636,13.748750199796632,13.78210649988614,None,13.78210649988614,None,13.78210649988614,None,13.78210649988614,None,17.28517289995216,None,17.28517289995216,None,18.803239099914208,None,18.803239099914208,None,18.803239099914208,None,a,0.386369600193575,0.010034800041466951,1.0209613000042737,18.803239099914208,None,18.803239099914208,None,19.804050699807703,None,19.804050699807703,None,19.804050699807703,None,19.804050699807703,None,l,1.138269899878651,0.011593099916353822,1.8080971001181751,19.804050699807703,None,19.804050699807703,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.605572099797428,None,21.605572099797428,None,21.605572099797428,None,l,0.00785410008393228,0.010731499874964356,1.005663399817422,21.605572099797428,None,21.605572099797428,None,22.606471699895337,None,22.606471699895337,None,22.606471699895337,None,22.606471699895337,None,l,0.18406390002928674,0.011980700073763728,1.7087721000425518,22.606471699895337,None,22.606471699895337,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.307955199852586,None,24.307955199852586,None,24.307955199852586,None,l,0.1153421001508832,0.01280379993841052,1.0098099999595433,24.307955199852586,None,24.307955199852586,None,25.30879559996538,None,25.30879559996538,None,25.30879559996538,None,25.30879559996538,None,l,0.00985819986090064,0.012166900094598532,1.7091650001239032,25.30879559996538,None,25.30879559996538,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.010277499910444,None,27.010277499910444,None,27.010277499910444,None,l,0.09341740002855659,0.013109299819916487,1.0104398999828845,27.010277499910444,None,27.010277499910444,None,28.01121319993399,None,28.01121319993399,None,28.01121319993399,None,28.01121319993399,None,l,0.019341800129041076,0.011973100015893579,1.7087405000347644,28.01121319993399,None,28.01121319993399,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.712630599969998,None,29.712630599969998,None,29.712630599969998,None,a,0.48593419999815524,0.011984500102698803,1.0082127000205219,29.712630599969998,None,29.712630599969998,None,30.71353349997662,None,30.71353349997662,None,30.71353349997662,None,30.71353349997662,None,a,0.2450248000677675,0.012078900123015046,1.809046900132671,30.71353349997662,None,30.71353349997662,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.515077399788424,None,32.515077399788424,None,32.515077399788424,None,a,0.052060999907553196,0.012566199991852045,1.009333600057289,32.515077399788424,None,32.515077399788424,None,33.51592399994843,None,33.51592399994843,None,33.51592399994843,None,33.51592399994843,None,None,,0.011490799952298403,1.8079295998904854,33.51592399994843,None,33.51592399994843,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.31751079997048,None,35.31751079997048,None,35.31751079997048,None,None,,0.011838599806651473,1.007875899784267,35.31751079997048,None,35.31751079997048,None,36.31842379993759,None,36.31842379993759,None,36.31842379993759,None,36.31842379993759,None,None,,0.01222459995187819,1.6091795000247657,36.31842379993759,None,36.31842379993759,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.919782399898395,None,37.919782399898395,None,37.919782399898395,None,a,0.5036898001562804,0.013098299968987703,1.010349899996072,37.919782399898395,None,37.919782399898395,None,38.920634699985385,None,38.920634699985385,None,38.920634699985385,None,38.920634699985385,None,None,,0.011881000362336636,1.8087137001566589,38.920634699985385,None,38.920634699985385,None,aa,,Male,Right-handed,train,Without EEG,Emotiv EPOC(+),False,2020_Apr_28_1531,59.92814617767978,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.72220709989779,None,40.72220709989779,None,40.72220709989779,None,None,,0.01241109985858202,1.009060800075531,40.72220709989779,None,40.72220709989779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
