A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.061572399921715,None,39.061572399921715,None,39.061572399921715,None,l,0.01233901921659708,1.008887819480151,39.061572399921715,None,39.061572399921715,None,40.06246699998155,None,40.06246699998155,None,40.06246699998155,None,40.06246699998155,None,0.5923275998793542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.663839399814606,None,41.663839399814606,None,41.663839399814606,None,a,0.011871319729834795,1.0079599195159972,41.663839399814606,None,41.663839399814606,None,42.66474189981818,None,42.66474189981818,None,42.66474189981818,None,42.66474189981818,None,0.4936004998162389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.36619099974632,None,44.36619099974632,None,44.36619099974632,None,a,0.01198611967265606,1.008139619603753,44.36619099974632,None,44.36619099974632,None,45.36707299994305,None,45.36707299994305,None,45.36707299994305,None,45.36707299994305,None,0.47960339998826385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.085248599760234,None,47.085248599760234,None,47.085248599760234,None,l,0.01062581967562437,1.0221510194242,47.085248599760234,None,47.085248599760234,None,48.08610659977421,None,48.08610659977421,None,48.08610659977421,None,48.08610659977421,None,0.42363989958539605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.68749839998782,None,49.68749839998782,None,49.68749839998782,None,a,0.010716019663959742,1.0056568197906017,49.68749839998782,None,49.68749839998782,None,50.688386199995875,None,50.688386199995875,None,50.688386199995875,None,50.688386199995875,None,0.4527928000316024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.489930499810725,None,52.489930499810725,None,52.489930499810725,None,l,0.011392819695174694,1.0069845197722316,52.489930499810725,None,52.489930499810725,None,53.490845900028944,None,53.490845900028944,None,53.490845900028944,None,53.490845900028944,None,0.4110340001061559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09216200001538,None,55.09216200001538,None,55.09216200001538,None,a,0.01140472013503313,1.0070311198942363,55.09216200001538,None,55.09216200001538,None,56.0930924997665,None,56.0930924997665,None,56.0930924997665,None,56.0930924997665,None,0.4727372000925243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79461509967223,None,57.79461509967223,None,57.79461509967223,None,l,0.011974719818681479,1.0081662200391293,57.79461509967223,None,57.79461509967223,None,58.795507499948144,None,58.795507499948144,None,58.795507499948144,None,58.795507499948144,None,0.49102409975603223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.59702919982374,None,60.59702919982374,None,60.59702919982374,None,l,0.01250311965122819,1.0092128198593855,60.59702919982374,None,60.59702919982374,None,61.59792449977249,None,61.59792449977249,None,61.59792449977249,None,61.59792449977249,None,0.44101429963484406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.199291799683124,None,63.199291799683124,None,63.199291799683124,None,l,0.012498320080339909,1.0091704200021923,63.199291799683124,None,63.199291799683124,None,64.20014209998772,None,64.20014209998772,None,64.20014209998772,None,64.20014209998772,None,0.5348265999928117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_16_2355,intro,59.930911732846674,
