A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.rt,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.39667560020462,None,38.39667560020462,None,38.39667560020462,None,None,,0.011487809475511312,1.0243149097077549,38.39667560020462,None,38.39667560020462,None,39.398658900056034,None,39.398658900056034,None,39.398658900056034,None,39.398658900056034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.99981639999896,None,40.99981639999896,None,40.99981639999896,None,None,,0.009099809918552637,1.00438751000911,40.99981639999896,None,40.99981639999896,None,42.001479000318795,None,42.001479000318795,None,42.001479000318795,None,42.001479000318795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71924109989777,None,43.71924109989777,None,43.71924109989777,None,None,,0.01184411020949483,1.0390877104364336,43.71924109989777,None,43.71924109989777,None,44.7355070002377,None,44.7355070002377,None,44.7355070002377,None,44.7355070002377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.43694070028141,None,46.43694070028141,None,46.43694070028141,None,None,,0.011290210299193859,1.007536310236901,46.43694070028141,None,46.43694070028141,None,47.43900310015306,None,47.43900310015306,None,47.43900310015306,None,47.43900310015306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.039221399929374,None,49.039221399929374,None,49.039221399929374,None,None,,0.010851509869098663,1.004723809659481,49.039221399929374,None,49.039221399929374,None,50.03993159998208,None,50.03993159998208,None,50.03993159998208,None,50.03993159998208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.841562800109386,None,51.841562800109386,None,51.841562800109386,None,None,,0.012089309748262167,1.0068124099634588,51.841562800109386,None,51.841562800109386,None,52.84246989991516,None,52.84246989991516,None,52.84246989991516,None,52.84246989991516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.44321170030162,None,54.44321170030162,None,54.44321170030162,None,None,,0.01118331030011177,1.005438610445708,54.44321170030162,None,54.44321170030162,None,55.44504510005936,None,55.44504510005936,None,55.44504510005936,None,55.44504510005936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14651790028438,None,57.14651790028438,None,57.14651790028438,None,None,,0.011730610392987728,1.006392310373485,57.14651790028438,None,57.14651790028438,None,58.14739100029692,None,58.14739100029692,None,58.14739100029692,None,58.14739100029692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.948412800207734,None,59.948412800207734,None,59.948412800207734,None,None,,0.010937610175460577,1.006772910244763,59.948412800207734,None,59.948412800207734,None,60.94998829998076,None,60.94998829998076,None,60.94998829998076,None,60.94998829998076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55384320020676,None,62.55384320020676,None,62.55384320020676,None,None,,0.012014210224151611,1.0219033099710941,62.55384320020676,None,62.55384320020676,None,63.56998930033296,None,63.56998930033296,None,63.56998930033296,None,63.56998930033296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soheil123,,Male,Right-handed,Without EEG,,False,2020_May_17_1846,intro,59.94136548201604,
