A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.rt,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94118049973622,None,39.94118049973622,None,39.94118049973622,None,None,,0.012260579969733953,1.0073887798935175,39.94118049973622,None,39.94118049973622,None,40.94221989996731,None,40.94221989996731,None,40.94221989996731,None,40.94221989996731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.54493049997836,None,42.54493049997836,None,42.54493049997836,None,None,,0.01189448032528162,1.0228477800264955,42.54493049997836,None,42.54493049997836,None,43.56100189965218,None,43.56100189965218,None,43.56100189965218,None,43.56100189965218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2624324997887,None,45.2624324997887,None,45.2624324997887,None,None,,0.012787679675966501,1.0084354798309505,45.2624324997887,None,45.2624324997887,None,46.26382499979809,None,46.26382499979809,None,46.26382499979809,None,46.26382499979809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.96488059964031,None,47.96488059964031,None,47.96488059964031,None,None,,0.012691280338913202,1.0082247806712985,47.96488059964031,None,47.96488059964031,None,48.966287499759346,None,48.966287499759346,None,48.966287499759346,None,48.966287499759346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.567458799574524,None,50.567458799574524,None,50.567458799574524,None,None,,0.011108279693871737,1.0049398797564209,50.567458799574524,None,50.567458799574524,None,51.5681119998917,None,51.5681119998917,None,51.5681119998917,None,51.5681119998917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.36941189970821,None,53.36941189970821,None,53.36941189970821,None,None,,0.011972780339419842,1.0063766799867153,53.36941189970821,None,53.36941189970821,None,54.3711432996206,None,54.3711432996206,None,54.3711432996206,None,54.3711432996206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.97242909995839,None,55.97242909995839,None,55.97242909995839,None,None,,0.012439880054444075,1.0079780803062022,55.97242909995839,None,55.97242909995839,None,56.97341419989243,None,56.97341419989243,None,56.97341419989243,None,56.97341419989243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.675457699690014,None,58.675457699690014,None,58.675457699690014,None,None,,0.012471780180931091,1.0243233805522323,58.675457699690014,None,58.675457699690014,None,59.692443599924445,None,59.692443599924445,None,59.692443599924445,None,59.692443599924445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.49325799988583,None,61.49325799988583,None,61.49325799988583,None,None,,0.012054780032485723,1.006276180036366,61.49325799988583,None,61.49325799988583,None,62.49446939956397,None,62.49446939956397,None,62.49446939956397,None,62.49446939956397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.09759159991518,None,64.09759159991518,None,64.09759159991518,None,None,,0.011453479994088411,1.0221267798915505,64.09759159991518,None,64.09759159991518,None,65.11333339987323,None,65.11333339987323,None,65.11333339987323,None,65.11333339987323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa,aa,Male,Right-handed,Without EEG,,False,2020_May_17_1706,intro,59.99300483221283,
