A1_Blocks.thisRepN,A1_Blocks.thisTrialN,A1_Blocks.thisN,A1_Blocks.thisIndex,A1_trials.thisRepN,A1_trials.thisTrialN,A1_trials.thisN,A1_trials.thisIndex,A2_Blocks.thisRepN,A2_Blocks.thisTrialN,A2_Blocks.thisN,A2_Blocks.thisIndex,A2_trials.thisRepN,A2_trials.thisTrialN,A2_trials.thisN,A2_trials.thisIndex,polygon_1.started,polygon_1.stopped,descriptionText_1.started,descriptionText_1.stopped,keyPressRun_1.keys,keyPressRun_1.rt,keyPressRun_1.started,keyPressRun_1.stopped,fixation10.started,fixation10.stopped,fixationImage10.started,fixationImage10.stopped,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,blackProc.started,blackProc.stopped,greenProc.started,greenProc.stopped,ProcTarget.started,ProcTarget.stopped,ProcPicture.started,ProcPicture.stopped,blackWaitInterTrial.started,blackWaitInterTrial.stopped,whiteWaitInterTrial.started,whiteWaitInterTrial.stopped,blackTrial.started,blackTrial.stopped,whiteTrial.started,whiteTrial.stopped,TrialPicture.started,TrialPicture.stopped,keyPressTrial_1.keys,keyPressTrial_1.started,keyPressTrial_1.stopped,green_1.started,green_1.stopped,red_1.started,red_1.stopped,blackWaitInterTrial_2.started,blackWaitInterTrial_2.stopped,whiteWaitInterTrial_2.started,whiteWaitInterTrial_2.stopped,green_fb_1.started,green_fb_1.stopped,red_fb_1.started,red_fb_1.stopped,keyPressTrial_3.keys,keyPressTrial_3.rt,keyPressTrial_3.started,keyPressTrial_3.stopped,green_3.started,green_3.stopped,red_3.started,red_3.stopped,keyPressTrial_1.rt,fixation.started,fixation.stopped,fixationImage.started,fixationImage.stopped,polygon_end.started,polygon_end.stopped,end_text.started,end_text.stopped,polygon_15.started,polygon_15.stopped,descriptionText_15.started,descriptionText_15.stopped,keyPressRun_15.keys,keyPressRun_15.rt,keyPressRun_15.started,keyPressRun_15.stopped,blackProc_2.started,blackProc_2.stopped,greenProc_2.started,greenProc_2.stopped,ProcTarget_2.started,ProcTarget_2.stopped,ProcPicture_2.started,ProcPicture_2.stopped,blackWaitInterTrial_3.started,blackWaitInterTrial_3.stopped,whiteWaitInterTrial_3.started,whiteWaitInterTrial_3.stopped,blackTrial_2.started,blackTrial_2.stopped,whiteTrial_2.started,whiteTrial_2.stopped,TrialPicture_2.started,TrialPicture_2.stopped,keyPressTrial_2.keys,keyPressTrial_2.started,keyPressTrial_2.stopped,green_2.started,green_2.stopped,red_2.started,red_2.stopped,blackWaitInterTrial_4.started,blackWaitInterTrial_4.stopped,whiteWaitInterTrial_4.started,whiteWaitInterTrial_4.stopped,green_fb_2.started,green_fb_2.stopped,red_fb_2.started,red_fb_2.stopped,keyPressTrial_4.keys,keyPressTrial_4.started,keyPressTrial_4.stopped,green_4.started,green_4.stopped,red_4.started,red_4.stopped,fixation_2.started,fixation_2.stopped,fixationImage_2.started,fixationImage_2.stopped,keyPressTrial_2.rt,keyPressTrial_4.rt,polygon_end_2.started,polygon_end_2.stopped,end_text_2.started,end_text_2.stopped,Participant ID,Age,Sex,Handedness,Data modality,EEG headset,Visualize Epochs,date,Experiment Mode,frameRate,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.725237800274044,None,38.725237800274044,None,38.725237800274044,None,None,0.011917960364371538,1.0080764601007104,38.725237800274044,None,38.725237800274044,None,39.726080500055104,None,39.726080500055104,None,39.726080500055104,None,39.726080500055104,None,None,,0.011415560264140368,1.7076789601705968,39.726080500055104,None,39.726080500055104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.42783340020105,None,41.42783340020105,None,41.42783340020105,None,None,0.012438060250133276,1.009219360537827,41.42783340020105,None,41.42783340020105,None,42.42844810010865,None,42.42844810010865,None,42.42844810010865,None,42.42844810010865,None,None,,0.011720659676939249,1.6082464600913227,42.42844810010865,None,42.42844810010865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.030098100192845,None,44.030098100192845,None,44.030098100192845,None,None,0.011090859770774841,1.0064218598417938,44.030098100192845,None,44.030098100192845,None,45.03082330012694,None,45.03082330012694,None,45.03082330012694,None,45.03082330012694,None,None,,0.010768359992653131,1.7063639601692557,45.03082330012694,None,45.03082330012694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7337996000424,None,46.7337996000424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.73581020021811,None,48.73581020021811,None,48.73581020021811,None,48.73581020021811,None,52.238283900078386,None,52.238283900078386,None,53.7393913003616,None,53.7393913003616,None,53.7393913003616,None,a,0.011871059890836477,1.0056279599666595,53.7393913003616,None,53.7393913003616,None,54.73944460041821,None,54.73944460041821,None,54.73944460041821,None,54.73944460041821,None,None,,0.011294560506939888,1.8078545606695116,54.73944460041821,None,54.73944460041821,None,0.6971240998245776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54076130036265,None,56.54076130036265,None,56.54076130036265,None,None,0.009663260076195002,1.0032642600126565,56.54076130036265,None,56.54076130036265,None,57.541709300130606,None,57.541709300130606,None,57.541709300130606,None,57.541709300130606,None,None,,0.01148306019604206,1.607768560294062,57.541709300130606,None,57.541709300130606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.143053700216115,None,59.143053700216115,None,59.143053700216115,None,None,0.011316660325974226,1.007061860524118,59.143053700216115,None,59.143053700216115,None,60.14411070011556,None,60.14411070011556,None,60.14411070011556,None,60.14411070011556,None,None,,0.011449259705841541,1.710009059868753,60.14411070011556,None,60.14411070011556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.845459199976176,None,61.845459199976176,None,61.845459199976176,None,None,0.012399060185998678,1.006799760274589,61.845459199976176,None,61.845459199976176,None,62.84640510007739,None,62.84640510007739,None,62.84640510007739,None,62.84640510007739,None,None,,0.011377760209143162,1.7106830603443086,62.84640510007739,None,62.84640510007739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.55087230028585,None,64.55087230028585,None,64.55087230028585,None,None,0.011518459767103195,1.0206571598537266,64.55087230028585,None,64.55087230028585,None,65.56544669996947,None,65.56544669996947,None,65.56544669996947,None,65.56544669996947,None,None,,0.011209460441023111,1.6072967601940036,65.56544669996947,None,65.56544669996947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.16689840005711,None,67.16689840005711,None,67.16689840005711,None,None,0.012199359945952892,1.0091038602404296,67.16689840005711,None,67.16689840005711,None,68.16770790005103,None,68.16770790005103,None,68.16770790005103,None,68.16770790005103,None,None,,0.01082145981490612,1.8062896598130465,68.16770790005103,None,68.16770790005103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Right-handed,Without EEG,,False,2020_May_18_1129,train-A(short),59.94413209010462,
